City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Zwedru,LR,6.0667,-8.1281,71.53,96,16,1.23,few clouds
1,Bluff,NZ,-46.6,168.3333,62.8,80,100,13.24,overcast clouds
2,Thompson,CA,55.7435,-97.8558,14.16,73,100,13.8,overcast clouds
3,Wuwei,CN,37.9281,102.6414,17.1,63,2,4.16,clear sky
4,Mehamn,NO,71.0357,27.8492,20.1,88,100,13.8,overcast clouds
5,Geraldton,AU,-28.7667,114.6,71.13,68,0,14.97,clear sky
6,Kaitangata,NZ,-46.2817,169.8464,59.83,86,100,11.01,overcast clouds
7,Port Blair,IN,11.6667,92.75,75.24,88,40,1.14,mist
8,Tuatapere,NZ,-46.1333,167.6833,62.82,64,100,4.07,overcast clouds
9,Ternate,ID,0.8,127.4,81.54,78,100,6.24,overcast clouds
10,Qaanaaq,GL,77.484,-69.3632,-14.24,90,100,5.08,overcast clouds
11,Truth Or Consequences,US,33.1284,-107.2528,59.23,19,0,6.91,clear sky
12,Lebu,CL,-37.6167,-73.65,59.27,79,6,18.16,clear sky
13,Upernavik,GL,72.7868,-56.1549,-16.6,90,90,6.85,overcast clouds
14,Yerbogachen,RU,61.2767,108.0108,-29.16,100,100,2.84,overcast clouds
15,Ancud,CL,-41.8697,-73.8203,59.43,75,4,6.06,clear sky
16,Tautira,PF,-17.7333,-149.15,86.02,79,75,18.54,light rain
17,Mar Del Plata,AR,-38.0023,-57.5575,67.87,84,0,18.99,clear sky
18,San Andres,CO,12.5847,-81.7006,80.62,69,20,5.75,few clouds
19,Dzaoudzi,YT,-12.7887,45.2699,78.69,83,0,6.91,clear sky
20,Beringovskiy,RU,63.05,179.3167,-14.3,85,2,14.14,clear sky
21,Busselton,AU,-33.65,115.3333,67.05,57,0,6.31,clear sky
22,Miles City,US,46.4083,-105.8406,44.51,52,40,0.0,scattered clouds
23,Szczecinek,PL,53.7079,16.6994,40.78,87,95,13.31,overcast clouds
24,Puerto Ayora,EC,-0.7393,-90.3518,74.16,80,58,5.44,broken clouds
25,Punta Arenas,CL,-53.15,-70.9167,53.71,54,75,10.36,broken clouds
26,Longyearbyen,SJ,78.2186,15.6401,13.84,79,75,1.14,light snow
27,Filadelfia,US,39.9523,-75.1638,35.71,58,0,8.05,clear sky
28,Kendari,ID,-3.945,122.4989,81.9,77,100,3.06,overcast clouds
29,Cockburn Town,TC,21.4612,-71.1419,76.96,73,40,18.41,scattered clouds
30,Pangody,RU,65.85,74.4859,-4.4,88,63,14.25,broken clouds
31,Durban,ZA,-29.8579,31.0292,72.01,91,0,3.0,clear sky
32,Havre-Saint-Pierre,CA,50.2334,-63.5986,25.39,93,100,18.41,overcast clouds
33,Matagami,CA,49.7502,-77.6328,19.51,93,100,2.3,overcast clouds
34,Nome,US,64.5011,-165.4064,-0.33,71,100,20.71,light snow
35,Sao Filipe,CV,14.8961,-24.4956,72.57,73,2,1.01,clear sky
36,Rikitea,PF,-23.1203,-134.9692,78.96,71,81,13.94,light rain
37,Khilok,RU,51.3674,110.4676,-3.28,97,52,1.34,broken clouds
38,Sistranda,NO,63.7256,8.834,37.9,78,100,35.48,overcast clouds
39,Ushuaia,AR,-54.8,-68.3,49.66,57,20,11.5,few clouds
40,Dikson,RU,73.5069,80.5464,3.43,94,100,22.53,overcast clouds
41,Kibaya,TZ,-5.3,36.5667,57.54,95,100,1.97,overcast clouds
42,Palmer,US,42.1584,-72.3287,35.38,66,40,5.75,scattered clouds
43,Ribeira Grande,PT,38.5167,-28.7,60.12,71,28,5.95,scattered clouds
44,Bhalwal,PK,32.272,72.9043,47.86,77,58,2.33,broken clouds
45,Slonim,BY,53.0867,25.3219,36.79,83,100,14.7,overcast clouds
46,New Norfolk,AU,-42.7826,147.0587,77.92,27,92,1.99,overcast clouds
47,Chimore,BO,-16.9833,-65.1333,74.57,76,87,2.48,overcast clouds
48,Lompoc,US,34.6391,-120.4579,80.91,53,0,11.5,clear sky
49,Vao,NC,-22.6667,167.4833,81.18,86,100,19.55,overcast clouds
50,Nevsehir,TR,38.9167,34.6667,36.61,81,75,10.36,broken clouds
51,Hobart,AU,-42.8794,147.3294,78.26,52,20,9.22,few clouds
52,Ostrovnoy,RU,68.0531,39.5131,15.62,86,99,20.0,overcast clouds
53,Gunjur,GM,13.2019,-16.7339,69.87,73,0,0.0,clear sky
54,Catalina,US,32.5056,-110.9211,69.66,20,0,3.33,clear sky
55,Yatou,CN,37.15,122.3833,38.25,53,96,5.84,overcast clouds
56,Severo-Kurilsk,RU,50.6789,156.125,30.87,94,96,27.6,light snow
57,Padang,ID,-0.9492,100.3543,75.25,76,100,5.23,overcast clouds
58,Bredasdorp,ZA,-34.5322,20.0403,62.28,88,0,8.05,clear sky
59,Cape Town,ZA,-33.9258,18.4232,65.08,81,0,4.61,clear sky
60,Tokmak,UA,47.2514,35.7058,32.63,96,100,14.72,light snow
61,Bethel,US,41.3712,-73.414,34.81,71,2,5.01,clear sky
62,Carnarvon,AU,-24.8667,113.6333,80.67,47,0,17.27,clear sky
63,Nanortalik,GL,60.1432,-45.2371,9.59,63,9,17.31,clear sky
64,Vaini,TO,-21.2,-175.2,84.36,94,40,13.8,scattered clouds
65,Aklavik,CA,68.2191,-135.0107,-34.6,67,40,4.61,scattered clouds
66,Bengkulu,ID,-3.8004,102.2655,77.2,82,98,5.68,overcast clouds
67,Praya,CV,14.9215,-23.5087,70.81,74,0,8.99,clear sky
68,Antsla,EE,57.8256,26.5406,32.68,84,100,11.12,overcast clouds
69,Sirsa,IN,29.5333,75.0167,57.92,55,100,5.93,overcast clouds
70,Iqaluit,CA,63.7506,-68.5145,-0.31,84,100,11.5,light snow
71,Grindavik,IS,63.8424,-22.4338,30.67,93,75,26.46,light snow
72,Kasangulu,CD,-4.5911,15.1708,77.94,91,100,2.21,overcast clouds
73,Omboue,GA,-1.5746,9.2618,77.49,88,95,6.02,light rain
74,Atuona,PF,-9.8,-139.0333,78.82,75,19,16.58,few clouds
75,Port Elizabeth,ZA,-33.918,25.5701,62.89,94,75,16.11,broken clouds
76,Altay,CN,47.8667,88.1167,4.17,74,95,6.22,overcast clouds
77,Saskylakh,RU,71.9167,114.0833,3.36,83,93,14.94,overcast clouds
78,Kapaa,US,22.0752,-159.319,79.2,66,40,10.36,scattered clouds
79,Mataura,NZ,-46.1927,168.8643,62.47,69,100,5.3,overcast clouds
80,Kodiak,US,57.79,-152.4072,24.31,54,0,14.97,clear sky
81,Keokuk,US,40.3973,-91.3849,46.96,61,100,8.05,overcast clouds
82,Quatre Cocos,MU,-20.2078,57.7625,75.31,80,100,8.05,overcast clouds
83,Pevek,RU,69.7008,170.3133,-29.83,100,91,3.98,overcast clouds
84,Tomatlan,MX,19.9333,-105.25,71.35,53,0,4.43,clear sky
85,Altamont,US,42.2068,-121.7372,58.84,25,0,8.05,clear sky
86,Monrovia,LR,6.3005,-10.7969,79.68,82,22,8.19,few clouds
87,East London,ZA,-33.0153,27.9116,72.95,91,23,13.51,few clouds
88,Zhangjiakou,CN,40.81,114.8794,24.08,33,100,0.85,light snow
89,Saint-Philippe,RE,-21.3585,55.7679,74.79,84,87,9.69,overcast clouds
90,Buraydah,SA,26.326,43.975,50.45,37,0,8.61,clear sky
91,Albany,US,42.6001,-73.9662,31.37,75,32,4.0,scattered clouds
92,Missoula,US,47.0166,-113.8009,36.0,93,100,4.85,overcast clouds
93,Kutum,SD,14.2,24.6667,54.12,20,0,5.48,clear sky
94,Airai,TL,-8.9266,125.4092,68.49,82,100,1.32,overcast clouds
95,Hermanus,ZA,-34.4187,19.2345,63.9,83,0,6.55,clear sky
96,Barrow,US,71.2906,-156.7887,-29.18,100,0,6.91,haze
97,Shirokaya Rechka,RU,56.7986,60.4852,13.46,100,100,2.21,overcast clouds
98,Koroni,GR,36.8,21.95,44.08,59,0,6.64,clear sky
99,Anadyr,RU,64.75,177.4833,-30.5,73,20,6.71,fog
100,Nong Kung Si,TH,16.65,103.3,78.57,99,11,6.42,few clouds
101,Slobozia,MD,46.7281,29.7078,29.28,84,14,7.07,few clouds
102,Provideniya,RU,64.3833,-173.3,-2.09,60,0,15.66,clear sky
103,Sezze,IT,41.5033,13.0641,44.89,70,0,3.71,clear sky
104,Qandala,SO,11.472,49.8728,72.84,61,72,4.85,broken clouds
105,Rumuruti,KE,0.267,36.5389,56.71,68,7,6.78,clear sky
106,Avera,US,33.194,-82.5271,44.71,58,19,3.87,few clouds
107,Itaituba,BR,-4.2761,-55.9836,73.85,98,83,1.57,broken clouds
108,Yar-Sale,RU,66.8333,70.8333,-0.62,94,93,15.7,overcast clouds
109,Rawson,AR,-43.3002,-65.1023,63.39,62,12,17.9,few clouds
110,Ambikapur,IN,23.1167,83.2,54.9,42,11,4.9,few clouds
111,Jamestown,US,42.097,-79.2353,27.72,79,100,10.36,overcast clouds
112,Puerto Escondido,MX,15.85,-97.0667,77.83,69,75,14.97,broken clouds
113,Korcula,HR,42.9622,17.1369,32.56,55,1,8.08,clear sky
114,Nikolskoye,RU,59.7035,30.7861,31.71,97,100,4.81,light snow
115,Butaritari,KI,3.0707,172.7902,82.27,76,97,15.5,light rain
116,Muravlenko,RU,63.7898,74.523,-11.09,90,74,11.36,broken clouds
117,San Matias,BO,-16.3667,-58.4,73.69,92,85,2.51,overcast clouds
118,Labuan,MY,5.2767,115.2417,80.96,94,20,1.14,few clouds
119,Moyo,UG,3.6609,31.7247,71.58,32,47,2.39,scattered clouds
120,Vaitape,PF,-16.5167,-151.75,81.36,76,52,18.39,broken clouds
121,Mtama,TZ,-10.3,39.3667,72.57,98,99,2.24,overcast clouds
122,Chokurdakh,RU,70.6333,147.9167,-42.99,100,99,5.64,overcast clouds
123,Mahibadhoo,MV,3.7833,72.9667,82.33,67,100,12.12,overcast clouds
124,Yulara,AU,-25.2406,130.9889,80.44,36,75,18.41,broken clouds
125,Faanui,PF,-16.4833,-151.75,81.32,76,52,18.45,broken clouds
126,Wajima,JP,37.4,136.9,34.48,86,75,3.44,broken clouds
127,Qasigiannguit,GL,68.8193,-51.1922,-5.55,72,100,10.47,overcast clouds
128,Bilibino,RU,68.0546,166.4372,-21.95,79,19,0.76,few clouds
129,Marsabit,KE,2.3284,37.9899,69.8,30,1,9.57,clear sky
130,Evensk,RU,61.95,159.2333,-2.33,74,4,5.35,clear sky
131,Sibolga,ID,1.7427,98.7792,75.85,89,100,3.71,overcast clouds
132,Saldanha,ZA,-33.0117,17.9442,62.65,93,98,5.91,overcast clouds
133,Imeni Poliny Osipenko,RU,52.4201,136.4853,-2.43,98,98,1.12,overcast clouds
134,Jutai,BR,-5.1833,-68.9,72.59,99,100,3.4,overcast clouds
135,Udachnyy,RU,66.4167,112.4,-15.56,75,93,3.04,overcast clouds
136,Hay River,CA,60.8156,-115.7999,-9.42,70,75,5.75,broken clouds
137,Sisimiut,GL,66.9395,-53.6735,-2.42,76,100,19.71,overcast clouds
138,Yellowknife,CA,62.456,-114.3525,-14.58,81,75,4.61,broken clouds
139,Vostok,RU,46.4856,135.8833,8.89,88,90,2.59,overcast clouds
140,Port Alfred,ZA,-33.5906,26.891,69.96,90,27,13.65,scattered clouds
141,Luderitz,NA,-26.6481,15.1594,72.37,67,0,10.42,clear sky
142,Pemba,MZ,-12.974,40.5178,77.7,94,20,11.5,few clouds
143,Buala,SB,-8.145,159.5921,80.69,85,100,8.3,moderate rain
144,Hobyo,SO,5.3505,48.5268,75.6,73,0,20.09,clear sky
145,Namatanai,PG,-3.6667,152.4333,85.08,67,76,7.9,broken clouds
146,Kattivakkam,IN,13.2167,80.3167,78.08,74,100,5.84,overcast clouds
147,Geri,CY,35.1,33.4167,59.32,82,75,12.66,broken clouds
148,Kavieng,PG,-2.5744,150.7967,83.82,74,100,10.13,overcast clouds
149,Paamiut,GL,61.994,-49.6678,0.73,78,100,13.02,overcast clouds
150,Zhengjiatun,CN,43.5064,123.5064,20.71,74,80,10.58,broken clouds
151,Castro,BR,-24.7911,-50.0119,61.38,97,14,8.34,few clouds
152,Huarmey,PE,-10.0681,-78.1522,71.46,78,100,5.73,overcast clouds
153,Hithadhoo,MV,-0.6,73.0833,82.13,71,100,14.41,overcast clouds
154,Broken Hill,AU,-31.95,141.4333,82.11,42,9,8.05,clear sky
155,Izumo,JP,35.3667,132.7667,42.75,93,20,2.3,few clouds
156,Jackson,US,42.4165,-122.8345,62.37,41,0,3.44,clear sky
157,Mahebourg,MU,-20.4081,57.7,75.49,88,75,3.44,broken clouds
158,Glenwood Springs,US,39.5505,-107.3248,42.6,34,0,8.05,clear sky
159,Zharkent,KZ,44.1628,80.0,26.19,76,100,4.72,overcast clouds
160,College,US,64.8569,-147.8028,6.75,71,75,4.61,broken clouds
161,Alofi,NU,-19.0595,-169.9187,80.49,83,75,9.22,broken clouds
162,Biak,ID,-0.9131,122.8766,81.95,65,100,0.78,overcast clouds
163,Arraial Do Cabo,BR,-22.9661,-42.0278,72.28,90,100,12.91,overcast clouds
164,Isangel,VU,-19.55,169.2667,78.67,92,100,36.06,overcast clouds
165,Khislavichi,RU,54.1871,32.1582,22.51,96,97,7.29,snow
166,Xacmaz,AZ,41.4635,48.806,38.93,65,19,1.97,few clouds
167,Ulladulla,AU,-35.35,150.4667,83.77,46,1,5.93,clear sky
168,Cabo San Lucas,MX,22.8909,-109.9124,76.3,57,4,5.01,clear sky
169,Kibondo,TZ,-3.5864,30.7203,60.44,95,63,2.1,broken clouds
170,Kruisfontein,ZA,-34.0033,24.7314,64.74,63,99,7.94,overcast clouds
171,Codrington,AU,-38.2667,141.9667,70.05,64,89,11.52,overcast clouds
172,Neyshabur,IR,36.2133,58.7958,37.85,44,0,1.86,clear sky
173,Kosh-Agach,RU,50.0,88.6667,-24.61,89,96,1.68,overcast clouds
174,Impfondo,CG,1.6381,18.0667,70.0,34,87,2.64,overcast clouds
175,Dingle,PH,10.9995,122.6711,80.22,72,12,15.88,few clouds
176,Nelson Bay,AU,-32.7167,152.15,85.28,59,2,1.99,clear sky
177,Coihaique,CL,-45.5752,-72.0662,60.75,41,40,10.36,scattered clouds
178,Hoa Binh,VN,20.8133,105.3383,53.49,95,100,2.48,overcast clouds
179,Matara,LK,5.9485,80.5353,75.33,72,100,1.97,overcast clouds
180,Pisco,PE,-13.7,-76.2167,71.02,83,0,4.61,clear sky
181,Bajil,YE,15.0584,43.2851,73.8,81,16,3.04,few clouds
182,Bathsheba,BB,13.2167,-59.5167,74.01,83,40,11.5,scattered clouds
183,Sechura,PE,-5.5569,-80.8222,73.85,68,100,10.8,overcast clouds
184,Srednekolymsk,RU,67.45,153.6833,-36.96,96,71,5.32,broken clouds
185,Bogo,PH,11.0517,124.0055,81.39,68,84,10.89,broken clouds
186,Manzanillo,CU,20.3433,-77.1167,75.78,76,28,4.45,light rain
187,Kashi,CN,39.4547,75.9797,24.01,68,40,8.95,scattered clouds
188,Cueramaro,MX,20.6167,-101.7167,69.22,27,0,5.7,clear sky
189,Tiksi,RU,71.6872,128.8694,-18.78,98,58,9.35,broken clouds
190,Bisalpur,IN,28.3,79.8,56.01,81,100,1.72,overcast clouds
191,Katsuura,JP,35.1333,140.3,47.19,61,100,16.42,overcast clouds
192,Luleburgaz,TR,41.4039,27.3592,38.57,73,63,14.41,broken clouds
193,Lata,PT,40.1629,-8.3327,50.72,69,0,4.27,clear sky
194,Mount Gambier,AU,-37.8333,140.7667,69.71,64,100,10.36,overcast clouds
195,Raga,SS,8.4596,25.678,66.49,20,6,3.87,clear sky
196,Sabzevar,IR,36.2126,57.6819,37.89,49,0,4.43,clear sky
197,Hun,LY,29.1268,15.9477,53.85,68,100,13.94,overcast clouds
198,Sungairaya,ID,0.7,108.9,79.23,82,97,2.82,overcast clouds
199,Narsaq,GL,60.9167,-46.05,1.62,77,19,8.34,few clouds
200,Sakakah,SA,29.9697,40.2064,49.57,38,0,6.46,clear sky
201,Aksu,CN,41.1231,80.2644,27.54,56,100,1.21,overcast clouds
202,Safaga,EG,26.7292,33.9365,66.18,35,0,3.2,clear sky
203,Penzance,GB,50.1186,-5.5371,49.21,77,100,18.97,overcast clouds
204,Esperance,AU,-33.8667,121.9,71.44,59,35,4.12,scattered clouds
205,Georgetown,MY,5.4112,100.3354,78.73,91,40,3.44,scattered clouds
206,Coihueco,CL,-36.6167,-71.8333,70.81,42,0,4.68,clear sky
207,Bandarbeyla,SO,9.4942,50.8122,74.98,67,75,16.42,broken clouds
208,Medea,DZ,36.2642,2.7539,30.65,65,0,5.66,clear sky
209,Rorvik,NO,64.8621,11.2373,40.26,65,100,29.82,light rain
210,Caucaia,BR,-3.7361,-38.6531,82.35,76,75,8.05,broken clouds
211,Ballina,AU,-28.8667,153.5667,78.98,65,100,5.75,overcast clouds
212,Vila,PT,42.0304,-8.1588,44.33,74,0,3.91,clear sky
213,Jining,CN,35.405,116.5814,41.0,1,100,5.12,overcast clouds
214,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.75,97,100,1.03,overcast clouds
215,Leningradskiy,RU,69.3833,178.4167,-26.01,85,16,4.38,few clouds
216,Ahipara,NZ,-35.1667,173.1667,81.48,64,9,12.68,clear sky
217,Alaca,TR,40.1683,34.8425,34.27,94,100,2.46,light snow
218,Portobelo,PA,9.55,-79.65,81.01,81,48,9.26,scattered clouds
219,Cherskiy,RU,68.75,161.3,-36.85,97,73,3.89,broken clouds
220,Lorengau,PG,-2.0226,147.2712,82.96,80,93,8.97,overcast clouds
221,Balkanabat,TM,39.5108,54.3671,43.7,48,45,10.67,scattered clouds
222,Radford,US,37.1318,-80.5764,40.12,62,0,0.0,clear sky
223,Zarichne,UA,51.8126,26.129,37.6,80,100,16.58,overcast clouds
224,Dabola,GN,10.75,-11.1167,72.99,18,100,1.63,overcast clouds
225,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.09,99,100,1.99,overcast clouds
226,Hilo,US,19.7297,-155.09,76.24,79,75,8.05,broken clouds
227,Almaznyy,RU,48.0448,40.045,37.54,98,100,8.37,moderate rain
228,Whitianga,NZ,-36.8333,175.7,70.43,96,100,8.84,overcast clouds
229,Boditi,ET,6.9667,37.8667,61.54,57,97,7.54,overcast clouds
230,Talnakh,RU,69.4865,88.3972,-0.8,96,100,11.92,overcast clouds
231,Kieta,PG,-6.2167,155.6333,85.64,71,96,9.55,light rain
232,Souillac,MU,-20.5167,57.5167,75.58,88,75,3.44,broken clouds
233,Goundam,ML,16.4145,-3.6708,67.51,9,0,9.57,clear sky
234,Huancabamba,PE,-5.2386,-79.4506,58.96,99,99,0.22,overcast clouds
235,Naryan-Mar,RU,67.6713,53.087,10.15,92,79,16.75,broken clouds
236,Aswan,EG,24.0934,32.907,60.1,25,0,5.75,clear sky
